team_id,team_name,team,gp,g,freq,fg2m,fg2a,fg2_pct,ns_fg2_pct,plusminus
1610612760,Oklahoma City Thunder,OKC,17,17,0.554,410,819,0.501,0.557,-0.057
1610612765,Detroit Pistons,DET,6,6,0.657,171,346,0.494,0.551,-0.057
1610612746,LA Clippers,LAC,7,7,0.66,209,394,0.53,0.569,-0.039
1610612738,Boston Celtics,BOS,11,11,0.619,293,581,0.504,0.543,-0.038
1610612754,Indiana Pacers,IND,17,17,0.599,472,897,0.526,0.561,-0.035
1610612753,Orlando Magic,ORL,5,5,0.6,124,234,0.53,0.564,-0.034
1610612752,New York Knicks,NYK,18,18,0.572,462,873,0.529,0.559,-0.03
1610612750,Minnesota Timberwolves,MIN,15,15,0.58,379,727,0.521,0.546,-0.025
1610612745,Houston Rockets,HOU,7,7,0.502,155,305,0.508,0.524,-0.016
1610612747,Los Angeles Lakers,LAL,5,5,0.572,132,249,0.53,0.544,-0.014
1610612744,Golden State Warriors,GSW,12,12,0.633,322,625,0.515,0.527,-0.012
1610612739,Cleveland Cavaliers,CLE,9,9,0.569,234,426,0.549,0.555,-0.006
1610612743,Denver Nuggets,DEN,14,14,0.602,413,748,0.552,0.554,-0.002
1610612749,Milwaukee Bucks,MIL,5,5,0.581,146,254,0.575,0.566,0.009
1610612763,Memphis Grizzlies,MEM,4,4,0.567,123,217,0.567,0.556,0.011
1610612748,Miami Heat,MIA,4,4,0.488,100,167,0.599,0.579,0.02
